Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-545.0877	-569.2884	24.20062	2.549876	1.449803	6.92807	2.136836
6	-548.5004	-574.7281	26.22764	2.578509	1.44734	4.750485	1.002672
12	-539.8056	-563.6116	23.806	3.954902	0.9914751	14.85291	0.4583513
18	-539.0884	-561.307	22.21852	4.194493	0.9134169	33.07864	0.4275974
24	-535.287	-558.2791	22.99204	4.194493	0.9134169	21.39807	0.3856322
30	-537.8183	-560.7154	22.89709	4.194493	0.825783	24.24761	0.4839491
36	-541.9308	-564.134	22.20323	4.042227	1.045097	33.34848	0.63277
42	-543.1184	-565.3271	22.20869	4.036771	1.045097	33.34848	0.63277
48	-545.3603	-568.1039	22.74366	3.863763	0.9548091	28.81375	0.63277
54	-545.6511	-567.3577	21.7066	3.863763	1.348578	33.04257	1.14064
60	-540.6466	-562.936	22.28936	3.863763	0.9066742	33.04257	0.9735782
66	-540.5671	-562.032	21.46483	3.788191	1.399836	33.04257	1.37124
72	-540.0197	-561.806	21.78628	3.824447	0.9936931	39.48963	1.084427
78	-538.1055	-560.0814	21.97587	3.596894	0.9936931	40.27771	1.084427
84	-538.475	-562.0255	23.55046	3.607457	0.9936931	20.58349	0.6648151
90	-540.1888	-563.3054	23.11656	3.738316	0.966742	20.31974	1.087299
96	-541.3172	-564.8377	23.5205	3.795418	0.9008188	20.31974	0.5573959
102	-542.8826	-566.4295	23.54693	3.795418	0.9008188	19.79773	0.6208638
108	-539.5084	-562.8954	23.38699	3.677694	1.530096	16.51515	0.7014482
114	-534.3407	-559.2363	24.89555	3.828059	0.9750584	7.732256	0.3104634
120	-534.288	-558.8398	24.55183	3.943256	0.9750584	7.732256	0.1968097
126	-531.7476	-555.9592	24.21155	3.814774	1.235751	8.443215	0.1701086
132	-532.7148	-557.1438	24.42909	3.895188	1.114895	8.443215	0.2339172
138	-526.9187	-552.5334	25.61468	3.769785	0.7999024	4.610324	0.1814385
144	-535.4798	-560.7214	25.24156	3.769785	1.130453	4.610324	0.1727794
150	-535.9476	-562.4336	26.48603	3.628121	0.7377847	3.256131	0.2526512
156	-535.9003	-561.0498	25.14949	4.082422	0.9162157	3.823401	0.1222688
162	-544.547	-569.3992	24.85229	4.060601	0.9162157	5.085179	0.1346993
168	-535.0727	-560.1232	25.05055	4.060601	0.9232264	5.162119	0.1880243
174	-535.4489	-560.5584	25.10958	4.060601	0.9232264	5.162119	0.207293
180	-532.3638	-557.5117	25.14791	3.95215	0.9910641	5.162119	0.207293
186	-530.388	-556.2658	25.87778	3.491984	0.9910641	5.162119	0.3956773
192	-535.1304	-560.8707	25.74028	3.484596	1.15783	5.162119	0.4263355
198	-529.2292	-554.521	25.29173	3.280721	1.15783	7.863776	0.6726645
204	-531.3377	-558.7765	27.43878	2.854251	0.8835407	2.658261	0.7521545
210	-532.0956	-559.5461	27.4505	2.825713	0.8835407	2.74596	0.7149021
216	-529.2576	-555.9705	26.71282	2.495679	1.294906	2.74596	1.385113
222	-535.2288	-564.8031	29.57427	3.036338	0.7000835	0.3442772	0.602423
228	-529.335	-558.205	28.87002	3.225813	0.8328736	0.4674544	0.8069975
234	-534.0708	-563.0692	28.99836	2.290543	0.8328736	0.7053692	1.25345
240	-536.7567	-563.8784	27.12167	2.411342	0.7112841	1.034006	2.33182
246	-531.6221	-559.7727	28.15061	2.374389	0.8509093	1.939978	0.9726466
252	-532.9978	-560.8174	27.81964	2.667007	0.8509093	2.529754	0.5015986
258	-538.812	-567.0429	28.23084	2.561051	0.8509093	1.934669	0.5954189
264	-530.7348	-558.8828	28.14794	2.633443	0.8509093	1.934669	0.624583
270	-529.4149	-559.0355	29.62056	2.325272	0.7267252	0.457139	1.117783
276	-535.4156	-562.2721	26.85644	2.932666	0.9100668	2.077734	1.47648
282	-532.0345	-559.695	27.66046	2.295539	1.000925	2.077734	1.271136
288	-532.1252	-560.1759	28.05072	2.215891	1.014978	2.082633	0.9746651
294	-531.5231	-559.716	28.19294	2.264913	0.7816576	2.082633	1.036739
