Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-531.2896	-559.8846	28.59504	0.00364087	0.0201579	0.00418698	0.00170694	0.0481965	0.00617889	0.0301086	0.000199326	0.0177127	0.0176721	0.0324641	0.00609797	0.00979161	0.0321256	0.0151909	0.0487179	0.0177485	0.00742036	0.0184809	0.0123551	0.011748	0.0198149	0.00277428	0.00945651	0.00168387	0.00469156	0.012572	0.0311437	0.00493653	2.10687	0.557253	1.047252	0.9527482	0.0350957	0.195216	0.600695	1.66474	5.12252	28.4935	2.422047	0.9097603	1.512323	0.00810928	0.0448976	0.00932563	0.00380186	0.107348	0.0137622	0.0670607	0.000443958	0.0394514	0.0393609	0.0723071	0.013582	0.0218088	0.0715531	0.0338345	0.108509	0.0395311	0.0165273	0.0411624	0.0275184	0.0261663	0.0441337	0.00617915	0.0210624	0.00375048	0.0104495	0.0280016	0.0693661	0.0109951	0.476374	0.523626	0.448975
36	-528.9119	-555.4631	26.55113	0.0144025	0.0327257	0.0115715	0.000941313	0.0257872	0.00141564	0.0580313	0.00241974	0.0183656	0.0230952	0.0189559	0.0235026	0.0241788	0.0806305	0.0149105	0.113083	0.00667376	0.0013881	0.0126419	0.041474	0.013762	0.0056978	0.00799475	0.00528997	0.0531686	0.0056904	0.0427679	0.0498171	0.0195939	2.85288	0.25885	0.8957879	1.104212	0.022045	0.155607	0.559664	1.78679	6.42646	45.3617	2.758268	1.232671	4.408539	0.0197301	0.0448311	0.0158519	0.00128951	0.035326	0.00193929	0.0794975	0.00331482	0.0251592	0.0316383	0.0259678	0.0321964	0.0331227	0.110456	0.0204259	0.154913	0.00914243	0.00190156	0.0173183	0.0568155	0.0188527	0.00780545	0.0109521	0.00724676	0.0728361	0.00779532	0.058588	0.0682447	0.0268418	0.552106	0.447894	0.7299768
72	-532.9809	-554.854	21.87305	0.024063	0.0275228	0.00381206	0.0185181	0.00833065	0.0100082	0.184619	0.00146676	0.0141892	0.0353212	0.0465743	0.0733206	0.0344952	0.0814716	0.0261858	0.484825	0.128651	0.000662506	0.0719985	0.0661768	0.0123846	0.049577	0.0297239	0.0453025	0.00429075	0.0176359	0.0876673	0.0361946	0.0132087	3.3807	0.0477204	1.021716	0.9782843	0.00597183	0.0823004	0.458802	2.17959	12.1506	167.453	3.70262	0.9574916	28.33756	0.0146887	0.0168007	0.00232699	0.0113039	0.00508525	0.0061093	0.112696	0.000895351	0.00866148	0.021561	0.0284302	0.0447569	0.0210568	0.0497325	0.0159845	0.29595	0.0785321	0.000404412	0.0439498	0.0403961	0.0075599	0.0302631	0.0181443	0.0276539	0.00261919	0.0107654	0.0535145	0.0220942	0.00806293	0.489142	0.510858	1.638198
108	-542.9779	-564.6251	21.64721	0.0151883	0.0357617	0.0319957	0.0152472	0.0137031	0.00954222	0.0795389	0.00853039	0.00584654	0.00302813	0.0610913	0.196378	0.0113771	0.145284	0.0366107	0.110539	0.0517724	0.010672	0.0122838	0.0979823	0.110486	0.0278167	0.110719	0.023893	0.0157622	0.0432351	0.0619737	0.000331285	0.0734381	3.39868	0.0405266	0.9363103	1.06369	0.00570413	0.08048	0.455612	2.19485	12.4255	175.312	3.735783	1.136044	33.54518	0.0106958	0.0251838	0.0225318	0.0107373	0.00964987	0.00671975	0.0560122	0.0060072	0.0041172	0.00213244	0.0430212	0.138291	0.0080119	0.102311	0.0257817	0.0778428	0.0364587	0.00751536	0.00865043	0.0690003	0.0778054	0.0195889	0.0779698	0.0168257	0.0110999	0.0304466	0.0436426	0.000233295	0.051716	0.531845	0.468155	1.420027
144	-536.4568	-562.9067	26.4499	0.0124494	0.0342068	0.110626	0.0170306	0.0933702	0.0161175	0.081136	0.0338335	0.0170741	0.0628493	0.0676529	0.0524458	0.0762454	0.105036	0.0707563	0.149685	0.0104638	0.0534951	0.0133283	0.0132661	0.0656822	0.0278779	0.0220236	0.00711765	0.00206362	0.029596	0.0870725	0.00112323	0.0218299	2.97589	0.209646	1.160359	0.8396406	0.0363022	0.198461	0.603793	1.6562	5.03877	27.5465	2.397607	0.7236038	5.67793	0.00918466	0.0252364	0.0816157	0.0125645	0.0688848	0.0118908	0.0598589	0.024961	0.0125966	0.0463677	0.0499116	0.0386924	0.0562508	0.0774913	0.0522011	0.110432	0.00771977	0.0394665	0.00983305	0.00978722	0.0484577	0.0205672	0.0162481	0.00525111	0.00152245	0.0218347	0.0642386	0.000828672	0.0161052	0.41982	0.58018	1.355455
180	-537.5181	-566.4958	28.97773	0.00346208	0.00279092	0.0114185	0.00852394	0.0404739	0.000663131	0.0318674	0.006811	0.013759	0.0149213	0.0268091	0.022135	0.0122917	0.0216953	0.00284562	0.0232994	0.0151918	0.000428058	0.0159666	0.03427	0.0369614	0.0280834	0.0176214	0.00300777	0.0371704	0.00882949	0.0340055	0.00147311	0.0112825	1.84912	0.660353	1.122169	0.8778309	0.031108	0.184065	0.589772	1.69557	5.43288	32.146	2.509258	0.7822626	1.120078	0.00709356	0.00571841	0.0233957	0.017465	0.0829283	0.00135871	0.0652942	0.0139553	0.0281913	0.0305728	0.0549301	0.0453532	0.0251849	0.0444522	0.00583048	0.047739	0.031127	0.000877063	0.0327145	0.070217	0.0757314	0.057541	0.0361051	0.00616271	0.0761597	0.018091	0.069675	0.00301831	0.0231172	0.438915	0.561085	0.4880591
216	-546.258	-573.6676	27.40957	0.0187173	0.00762404	0.0971433	0.0216389	0.0879175	0.0312533	0.09611	0.00818183	0.0351773	0.101577	0.304356	0.079848	0.0257206	0.00474078	0.0134657	0.111699	0.021375	0.00691048	0.0216703	0.0228	0.0819556	0.106945	0.00285026	0.126939	0.0188716	0.12874	0.0844473	0.0817508	0.111752	1.69906	0.720375	0.9208218	1.079178	0.0341785	0.192711	0.59828	1.67146	5.18911	29.2582	2.441196	1.171973	0.9434317	0.0100513	0.00409415	0.0521665	0.0116202	0.0472122	0.0167832	0.0516116	0.00439369	0.0188904	0.0545473	0.163441	0.0428788	0.0138121	0.00254582	0.00723117	0.059983	0.0114785	0.00371096	0.0116371	0.0122437	0.0440106	0.0574303	0.00153061	0.068167	0.0101342	0.0691342	0.0453487	0.0439006	0.0600113	0.539589	0.460411	1.862179
252	-533.5285	-562.0343	28.50577	0.000942484	0.0543889	0.036087	0.00246122	0.0264849	0.0252497	0.0590927	0.0412148	0.0109534	0.0592118	0.0613283	0.0905648	0.0561323	0.00876925	0.0159646	0.11384	0.0128552	0.227781	0.0856581	0.0135346	0.0566212	0.0373209	0.0448896	0.0604501	0.0654321	0.0301517	0.0300902	0.185221	0.0142889	1.77903	0.68839	1.074692	0.9253078	0.0599809	0.253533	0.651733	1.53437	3.94427	16.672	2.03452	0.860998	1.033731	0.000617221	0.0356186	0.0236329	0.00161182	0.0173446	0.0165357	0.038699	0.026991	0.00717327	0.038777	0.0401631	0.0593097	0.0367603	0.00574287	0.010455	0.0745523	0.00841874	0.149171	0.0560964	0.00886363	0.0370805	0.024441	0.0293976	0.039588	0.0428506	0.019746	0.0197057	0.121299	0.00935759	0.462654	0.537346	1.52698
288	-532.0367	-557.8989	25.86223	0.00480482	0.00430648	0.00108696	0.00146925	0.0251425	0.000905644	0.0266284	0.0162871	0.00806861	0.00359966	0.00898674	0.0288567	0.00548283	0.0105434	0.00787277	0.0532774	0.023446	0.00661826	0.0305493	0.0545708	0.0196807	0.017307	0.0235083	0.00129461	0.00449346	0.0284656	0.0130987	0.0402199	0.00939962	2.90962	0.236153	0.8523427	1.147657	0.0107192	0.109472	0.501511	1.99397	9.13472	93.2907	3.279638	1.346474	4.928366	0.0100106	0.00897237	0.00226463	0.00306112	0.0523834	0.00188687	0.055479	0.0339334	0.0168106	0.00749973	0.0187235	0.0601217	0.0114232	0.0219667	0.0164026	0.111001	0.0488488	0.0137889	0.0636482	0.113696	0.0410039	0.0360584	0.0489785	0.00269726	0.00936193	0.0593069	0.0272905	0.0837965	0.0195837	0.573829	0.426171	0.4799716
324	-537.1588	-561.7648	24.60607	0.0158831	0.0405414	0.000499541	0.00552783	0.0216379	0.00904475	0.105064	0.0144784	0.0796614	0.00271841	0.0277787	0.0319453	0.152904	0.117491	0.0360263	0.315026	0.0601615	0.00576953	0.121257	0.0973983	0.0188021	0.0567192	0.0209034	0.0141674	0.0596493	0.0115482	0.0358725	0.0223541	0.0474676	3.19795	0.120821	1.017905	0.9820946	0.0216338	0.154184	0.558063	1.79191	6.48574	46.2239	2.771882	0.9648191	10.58743	0.0102584	0.0261845	0.000322639	0.00357026	0.0139752	0.00584174	0.0678579	0.00935115	0.051451	0.00175574	0.0179414	0.0206325	0.0987563	0.0758839	0.0232683	0.203466	0.0388565	0.00372637	0.0783162	0.0629067	0.0121437	0.0366333	0.0135009	0.00915032	0.0385257	0.00745865	0.023169	0.0144379	0.0306579	0.491047	0.508953	1.548298
